,,,,,,,,,,,,,,,,,,RATE ALL CATEGORIES FROM A SCALE OF 0-10,,,,,,,,,,,,
SCORE,ROASTER,NAME,ORIGIN,REGION,PROCESS,VARIETAL,HOME,CAFE,POUR OVER,ESPRESSO,,SWEET,ACIDIC,FLORAL,SPICE,FERMENTED,BERRY FRUIT,CITRUS FRUIT,STONE FRUIT,VEGETIVE,CHOCOLATE,CARAMEL,ROASTED,BITTER,SAVORY,BODY,CLEAN,LINGER/ FINISH,,OVERALL /10
19.6,Morgon,Refisa ,Ethiopia,Nensebo,Washed,Heirloom,X,,X,,,5,5,8,1,0,2,1,1,3,2,0,0,2,5,9,8,8,,7
14.5,Morgon ,Lopez Family,Brazil,ALTA MOGIANA,Natural,Arara,,X,,X,,8,7,3,0,4,6,7,2,0,4,0,1,4,1,3,2,3,,7
20.1,Wesley Andrews,Torch Pu’er,China,Yunnan,Red Honey x2 Ferment,Catimor,X,,X,,,8,3,6,3,9,8,9,4,0,1,0,2,2,2,3,0,8,,8
29.2,Tim Wendelboe,"Echemo, Khalid Shifa Goma",Ethiopia,Jimma,Washed,Heirloom cultivars,X,,X,,,8,3,8,3,1,5,7,9,2,0,0,0,2,8,10,9,9,,9
20.3,Tim Wendelboe,"Los Pireneos, Diego Baraona",El Salvador,"Tecapa, Usulutan",Semi-Washed,Pacamara,X,,X,,,8,5,5,2,2,7,4,5,1,5,0,1,4,4,8,7,5,,7
25.1,Manhattan ,"Edelweiss, neel vohora",Tanzania,Arusha,Natural,Geisha ,,X,,X,,9,7,7,3,8,9,8,5,0,1,0,0,5,0,6,3,7,,9
27.2,Coffea Circulor,AGATSBY CCX,Panama,"Callejón Seco, Boquete","Natural, Anerobic, Slow Drying, CCX ",Geisha ,X,,X,,,8,8,7,0,8,9,10,4,0,0,0,0,4,0,4,8,9,,10
28.1,Coffea Circulor,DILGO NDSX,Panama,"Callejón Seco, Boquete","Natural, Dry, Slow Fermentation",Geisha ,X,,X,,,9,6,8,2,8,10,9,5,0,0,0,0,3,1,8,4,9,,10
16.6,Nemesis ,Rene Fernández - las Huellas ,Honduras ,Las Flores,Washed,Parainema,,X,,X,,9,9,3,0,0,7,5,4,0,4,1,2,6,1,6,1,7,,4
24.2,Metric,Carlos Esteban Cortés ,Colombia,Yacuanquer,96 Hour Ferment Natural ,Yellow and Red Caturra ,X,,X,,,6,5,6,0,6,7,7,6,2,0,1,2,3,4,8,8,7,,8
24.6,Anomalous Coffee,Dionel Chilito,Colombia,"Pitalito, Huila",Washed,Gesha,X,,X,,,8,2,6,1,0,8,7,5,2,0,0,0,4,5,6,8,8,,9
24.9,Black & White,"Danche, Negussee Debala",Ethiopia,"Worka Chelbesa, Gedeb",Anaerobic Red Honey,"1974-1975 JARC selections, and local landraces",X,,X,,,6,1,8,1,6,3,7,8,1,0,0,0,3,6,8,6,9,,8
16.3,Little Wolf ,Angamaza,Ecuador,Loja,Washed,"Caturra, Typica, San Salvador",,X,,X,,8,3,3,0,4,9,7,3,2,1,0,0,7,1,2,1,2,,7
18.1,Wesley Andrews,Kayon Mountain Natural,Ethiopia ,"Shakiso, Oromia",Natural,7410. 7412. ,X,,X,,,6,5,6,0,3,4,6,2,2,0,0,5,7,5,5,7,4,,6
21.6,SK ,"Citronella Ferment, Sebastian Ramirez",Colombia ,Quindio,Natural,Pink Bourbon,,X,X,,,5,8,6,1,8,7,8,2,0,0,0,1,4,2,4,5,6,,9
27.4,SEY,Mario Asorza,Peru,"Amaybamba, Cusco",Washed,Gesha,X,,X,,,7,6,9,0,0,8,7,4,0,0,0,0,2,5,8,9,10,,8
20.4,Tim Wendelboe,Jobneel C. Dios,Honduras ,"El Cielito, Santa Barbara",Washed,Pacas,X,,X,,,5,6,8,0,0,7,2,5,2,4,0,2,0,6,8,10,5,,5
25,SK,"Finca Gascón, Filipe Contreres ",Guatemala ,Antigua ,Lactic Acid Natural ,Gesha,,X,X,,,8,8,9,1,9,6,9,1,0,0,0,0,6,1,7,0,10,,10
27.5,Tim Wendelboe,Kagumoini,Kenya,Muranga,Washed,"SL28, SL34, Ruiru 11 & Batain",X,,X,,,7,7,6,0,2,9,2,8,0,0,0,0,3,5,9,10,10,,8
27.8,Rose,Raro Fermented Lot,Ethiopia,Uraga,Anaerobic Natural,Wolisha & Dega,X,,X,,,9,5,9,1,9,9,9,9,0,2,0,0,2,3,9,2,8,,9
