\,,,,,,,,,,,,,,,,,,RATE ALL CATEGORIES FROM A SCALE OF 0-10,,,,,,,,,,,,
SCORE,ROASTER,NAME,ORIGIN,REGION,PROCESS,VARIETAL,HOME,CAFE,POUR OVER,ESPRESSO,,SWEET,ACIDIC,FLORAL,SPICE,FERMENTED,BERRY FRUIT,CITRUS FRUIT,STONE FRUIT,VEGETIVE,CHOCOLATE,CARAMEL,ROASTED,BITTER,SAVORY,BODY,CLEAN,LINGER/ FINISH,,OVERALL /10
25.6,H & S,La Lima,Peru,Ihuamaca,Washed,Gesha,X,,X,,,4,2,10,0,0,4,6,10,0,0,0,0,0,8,9,10,7,,8.5
20.5,Brandywine,Gaikundo,Kenya,Nyeri,Washed,"SL28, SL34",X,,X,,,4,9,2,0,5,6,8,2,2,0,0,2,6,4,8,2,7,,6.8
22.9,Sey,Pablo Malacatos,Ecuador,"Palanda, Zamora",Washed,Mejorado,X,,X,,,7,5,8,0,0,2,8,3,0,0,0,0,3,6,10,6,6,,8.5
21.9,H & S,Rumudamo,Ethiopia,Sidamo,Natural,Landraces,X,,X,,,6,9,7,0,4,2,5,9,0,0,0,0,2,1,4,7,8,,9
21.4,Coffea Circular,Tio Conejo,Columbia ,"Manizales, Caldas",Honey,Gesha,X,,X,,,7,3,9,0,2,3,8,7,0,1,0,0,1,3,6,4,8,,9.4
18.3,S & W Craft Roasting ,Finca la Senda,Guatemala,Finca la Senda,Hydro Natural,"Cattura, Bourbon, and Pacamara",X,,X,,,7,3,7,2,5,2,5,6,0,3,0,1,7,4,7,1,6,,6
21.5,Subtext,Nesru Aba Nura,Ethiopia,Jimma,Natural,74110,X,,X,,,5,7,6,0,5,7,4,6,0,1,0,0,6,1,6,4,8,,7.5
16.8,Five & Hoek,Luis Guzman,Columbia ,Huila,Washed,Caturra,X,,X,,,4,7,6,0,1,4,5,6,0,0,0,4,8,5,6,2,3,,5.7
22.4,Subtext,Alirio Ortega,Colombia ,Huila,Washed,Pacamara,X,,X,,,6,7,7,0,0,2,5,9,2,0,0,0,2,6,8,3,8,,8.5
25.5,H & S,La Terraza,Colombia ,Huila,Washed,Gesha,X,,X,,,7,4,9,0,1,4,7,9,2,0,0,0,2,7,9,5,7,,9
19.9,H & S,La Divisa,Colombia,Quindio,Washed,Tabi,X,,X,,,5,4,6,0,2,6,4,8,1,0,2,0,0,8,6,8,2,,7.2
22.9,S&W,Santa Monica Lychee,Colombia ,Quindio,Lychee Co-Ferment ,Castillo,X,,X,,,9,4,4,0,8,7,6,10,0,0,0,0,0,0,8,3,8,,9
22.9,S&W,Peru El Palto Natural ,Peru,Amazonas,Natural,"Bourbon, Catimor, Caturra, Pache, and Typica ",X,,X,,,7,5,7,0,4,4,8,7,0,0,0,0,2,0,8,5,8,,8.5
20.1,Subtext,Faver Ninco ,Colombia,Huila,Washed,Caturra,X,,X,,,8,6,2,0,4,8,5,9,0,3,0,1,2,3,7,1,9,,7.8
21.7,H&S,Nyungwe Site,Rwanda,Nyamasheke,Washed,Red bourbon,X,,X,,,8,7,4,0,2,8,5,6,0,1,0,0,4,6,8,5,2,,8
27.2,Subtext,Audon Solano,Colombia,Huila,Washed,"Caturra, and Colombia ",X,,X,,,7,6,7,0,0,6,6,6,6,0,0,0,3,7,10,7,8,,9
26.3,Sey,Familia Quilla,Peru,"Sandia, Puno ",Washed,Bourbon,X,,X,,,7,6,8,0,2,7,6,7,5,2,0,1,0,6,8,8,9,,8
29,Sey,Mbature Family,Kenya,Embu,Washed,Field blend,X,,X,,,7,8,7,0,0,6,8,9,7,0,0,0,4,8,8,6,8,,9
23.5,H&S,El Tropico,Colombia ,Huila,Washed,Caturra Field Blend,X,,X,,,7,5,8,0,2,6,6,5,3,0,0,0,3,4,7,7,5,,8.25
19.4,Luna,Jose Angel Lopez,Honduras,Santa Barbara ,24 hr ferment,Pacas,X,,X,,,6,7,7,2,6,6,7,7,0,2,0,2,5,2,7,1,2,,7.2
25.8,Sey,Servio Botina,Colombia,El Cedro,Washed,Pink Bourbon,X,,X,,,6,7,6,0,1,8,7,5,2,0,0,1,6,5,9,7,7,,8.5
24.6,H&S,Divino Niño,Ecuador ,Palta ,Washed,Mejorado ,X,,X,,,8,3,8,0,1,9,4,3,0,0,0,0,2,2,10,8,9,,9
21.3,S&W,Santiago Patino,Colombia,Armenia Quindio,Anaerobic natural,Pink Bourbon,X,,X,,,9,7,4,5,9,8,6,7,0,3,0,4,6,0,8,0,8,,7.5
29.7,Sey,Victor Alfonso Bonilla,Colombia ,Huila,Washed,Aruzi ,X,,X,,,4,6,8,2,0,7,7,8,6,0,0,0,2,9,10,7,10,,10
16.8,Prodigal,Finca La Suma,Colombia ,Huila,Natural,Pink Bourbon ,X,,X,,,6,5,1,5,7,8,7,5,0,2,0,0,2,0,6,0,3,,8
19.8,DAK,Blueberry beats,Ethiopia ,Guji,Natural,Local landraces,X,,X,,,7,7,7,0,2,9,6,4,0,0,0,0,3,2,3,1,6,,8
25.1,Bluebird ,Pepe Jijon,Ecuador,Intag Valley,Washed,Sidra,X,,X,,,8,7,8,0,2,6,8,6,0,0,0,0,4,0,7,7,8,,8.5
22.7,H&S,Boa Vista,Brazil,Minas Gerais,Natural,Yellow Catuai,X,,X,,,8,3,6,4,6,8,7,2,0,3,0,0,2,4,5,7,8,,8.5
22.2,Sey,Bochessa,Ethiopia ,Sidama ,Washed,Ethiopian land race,X,,X,,,3,6,8,0,0,2,5,2,7,0,0,0,1,7,8,7,8,,8.5
25.5,Sey,Onesmus & Karen Njagi,Kenya,Embu,Washed,SL28 & SL34,X,,X,,,5,6,9,0,0,2,7,3,7,0,0,0,6,9,9,6,7,,9
25.1,H&S,El Pariso 43-A,Colombia,Gigante,Washed,Field blend,X,,X,,,9,2,7,0,4,6,8,9,0,0,0,0,2,1,7,6,10,,9
27,Botz,Bochessa,Ethiopia,Arbegona,Washed,Landrace,X,,X,,,6,6,9,0,2,7,8,7,0,0,0,0,3,5,8,8,7,,8.2
28.9,H&S,Karani AA,Kenya,Kirinyaga,Washed,SL28 Field blend,X,,X,,,8,2,7,0,4,10,7,6,0,0,0,0,4,7,9,8,10,,9.5
31.9,Sey,Jose Martinez,Colombia,Huila,Washed ,Pink Bourbon,X,,X,,,8,7,8,1,4,10,9,8,0,0,0,0,3,6,10,9,8,,10
27.4,Sey,Harmufo ,Ethiopia ,Gedeb ,Washed,Ethiopian landrace ,X,,X,,,7,6,6,1,3,4,8,9,2,0,0,0,4,4,9,8,9,,9
24.3,H&S,Kiamwangi AB,Kenya,Nyeri,Washed,SL28 Field blend,X,,X,,,10,3,5,4,7,8,9,7,0,0,0,0,3,5,3,2,8,,9
16.7,Metric,Worka Chelbessa,Ethiopia,Guji,Washed,Landrace,X,,X,,,7,4,6,0,0,3,5,4,3,6,0,3,6,9,7,3,5,,6.5
